CODGEO;NBMENFISC19;NBPERSMENFISC19;MED19;PIMP19;TP6019;TP60AGE119;TP60AGE219;TP60AGE319;TP60AGE419;TP60AGE519;TP60AGE619;TP60TOL119;TP60TOL219;PACT19;PTSA19;PCHO19;PBEN19;PPEN19;PPAT19;PPSOC19;PPFAM19;PPMINI19;PPLOGT19;PIMPOT19;D119;D919;RD19
01107;66;145;22050;;;;;;;;;;;;;;;;;;;;;;;;
01108;508;1099;21990;;;;;;;;;;;;;;;;;;;;;;;;
01109;802;2079;32180;46;11;;;;;;;;;90.5;85.7;3.1;1.7;11.8;4.5;1.9;0.8;0.7;0.4;-8.7;12600;64460;5.1
01110;69;151;20480;;;;;;;;;;;;;;;;;;;;;;;;
01111;57;120;21330;;;;;;;;;;;;;;;;;;;;;;;;
01112;173;473;23770;;;;;;;;;;;;;;;;;;;;;;;;
01113;334;833;22070;;;;;;;;;;;;;;;;;;;;;;;;
01114;220;537;27400;;;;;;;;;;;;;;;;;;;;;;;;
01115;549;1357;22470;;;;;;;;;;;;;;;;;;;;;;;;
01116;218;512;23090;;;;;;;;;;;;;;;;;;;;;;;;
01117;59;151;21460;;;;;;;;;;;;;;;;;;;;;;;;
01118;429;1000;25360;;;;;;;;;;;;;;;;;;;;;;;;
01121;45;105;23740;;;;;;;;;;;;;;;;;;;;;;;;
01123;443;1159;24080;;;;;;;;;;;;;;;;;;;;;;;;
01124;304;695;22050;;;;;;;;;;;;;;;;;;;;;;;;
01125;263;612;22480;;;;;;;;;;;;;;;;;;;;;;;;
01127;215;478;23760;;;;;;;;;;;;;;;;;;;;;;;;
01128;134;308;21320;;;;;;;;;;;;;;;;;;;;;;;;
01129;116;299;24560;;;;;;;;;;;;;;;;;;;;;;;;
01130;892;2342;22850;62;;;;;;;;;;80.3;72.5;2;5.8;22.6;7.7;4.4;2.6;1.2;0.6;-15;14810;34140;2.3
01133;172;414;24120;;;;;;;;;;;;;;;;;;;;;;;;
01134;734;1851;23110;;;;;;;;;;;;;;;;;;;;;;;;
01135;722;1938;40730;56;;;;;;;;;;;;;;;;;;;;;;;
01136;359;960;23490;;;;;;;;;;;;;;;;;;;;;;;;
01138;1264;2782;20530;53;12;;;;;;;;20;67.3;61.5;3.5;2.3;31.7;8.1;6.4;2.8;2.3;1.3;-13.5;12330;33380;2.7
01139;187;438;19550;;;;;;;;;;;;;;;;;;;;;;;;
01140;292;737;23500;;;;;;;;;;;;;;;;;;;;;;;;
01141;178;429;25060;;;;;;;;;;;;;;;;;;;;;;;;
01142;1829;4732;24290;67;7;;;;;;;;15;81.5;74.7;2.9;3.9;22;8.5;4.6;2.4;1.4;0.8;-16.6;14280;39440;2.8
